,name,Cv_gravimetric_250.00_mean,Cv_gravimetric_250.00_std,Cv_molar_250.00_mean,Cv_molar_250.00_std,Cv_gravimetric_275.00_mean,Cv_gravimetric_275.00_std,Cv_molar_275.00_mean,Cv_molar_275.00_std,Cv_gravimetric_300.00_mean,Cv_gravimetric_300.00_std,Cv_molar_300.00_mean,Cv_molar_300.00_std,Cv_gravimetric_325.00_mean,Cv_gravimetric_325.00_std,Cv_molar_325.00_mean,Cv_molar_325.00_std,Cv_gravimetric_350.00_mean,Cv_gravimetric_350.00_std,Cv_molar_350.00_mean,Cv_molar_350.00_std,Cv_gravimetric_375.00_mean,Cv_gravimetric_375.00_std,Cv_molar_375.00_mean,Cv_molar_375.00_std,Cv_gravimetric_400.00_mean,Cv_gravimetric_400.00_std,Cv_molar_400.00_mean,Cv_molar_400.00_std
94,ITW,0.6577855302461554,0.0043826969370298,13.174194378323024,0.087777092524527,0.7020906851696661,0.0035718472066484,14.061542451646597,0.0715373130394755,0.7439677436104292,0.00317657914477,14.900260365804035,0.0636208447693686,0.7818948366328402,0.0033188058095802,15.659867977566188,0.0664693746348537,0.8151786782363204,0.0035671249159818,16.326480085584855,0.0714427345297766,0.8446945289548847,0.0034729525227379,16.917626495361326,0.0695566404206487,0.8719767743857315,0.0033969081667908,17.46403803507487,0.0680336164553037
95,IWR,0.6568750794050375,0.0046136583228677,13.155959777832033,0.0924028102562275,0.7009218072661576,0.0037462966740768,14.038132048107332,0.0750312044180785,0.7423223775194998,0.0033696358468938,14.867306809198288,0.0674874037051753,0.7800431682606568,0.0036095432826192,15.622782578241257,0.0722922938186267,0.8132803459908828,0.0038009921119105,16.288460097539993,0.0761266501165564,0.8434714995172297,0.0035929942259236,16.89313153948103,0.0719608476562218,0.8720761718097552,0.0033541773795456,17.466028776622952,0.0671777999752781
96,IWS,0.6529603946723693,0.0051794254644993,13.07755608053768,0.1037340511455401,0.697250445318338,0.0041153409260223,13.964601643880208,0.0824224596004686,0.7391358419176494,0.0037723895692739,14.80348655551088,0.0755537955323749,0.7776886775914243,0.0041772891115689,15.57562660366881,0.0836631640554139,0.8113572390522472,0.0045438059205061,16.249943919462318,0.0910037993564898,0.8410461510590714,0.004273270340432,16.844556418026194,0.0855854857052078,0.8686045438362682,0.0041134668870979,17.39649866440717,0.0823849261614857
97,IWV,0.6578433686917482,0.0045937283863085,13.175352772495202,0.0920036514938265,0.7014423230213183,0.003702663838915,14.04855698970326,0.0741573216321738,0.742397743665866,0.0033270769386918,14.86881624991434,0.0666350296358131,0.780443699840485,0.0037966726139747,15.63080446477522,0.0760401387799467,0.8135938006381461,0.0041911300925422,16.294737998560855,0.0839403726064443,0.8429532763577234,0.0038924197506762,16.882752514220122,0.0779577720085193,0.8706548924608991,0.0036913489084335,17.437563251696133,0.0739307050729988
98,IWW,0.6547831002484757,0.0049273095500815,13.114061410086492,0.098684648399989,0.6992320267505089,0.0039895495133842,14.004288954961869,0.0799030966090111,0.7410229337068063,0.0036082601611597,14.84128141857329,0.0722665953337237,0.779230774981993,0.0038801942872352,15.606511884416852,0.0777129192041764,0.8126198236840894,0.0042204648036403,16.275231090727303,0.0845278911337897,0.8424659310815811,0.0039471026089573,16.872991914295014,0.0790529657624584,0.8701288251437161,0.0036557979858837,17.427027122860867,0.0732186876410781
99,JBW,0.6639009653120851,0.0041606347016143,13.296674923366968,0.0833296078674024,0.7065180990932078,0.0040821437972986,14.150215140448674,0.0817575841866771,0.7465424774480919,0.00370126802989,14.951827392578124,0.0741293662294411,0.7832719885467386,0.0038309826260677,15.687449713812937,0.0767273031331479,0.816188995292777,0.0044123344309747,16.346714816623262,0.0883706752170055,0.8448242650919536,0.0042617758941752,16.920224863688148,0.0853552737861312,0.870773377708248,0.0045332092122099,17.43993628607856,0.0907915674230625
100,JNT,0.6659695245845195,0.0022423741832214,13.33810423533122,0.0449104943789773,0.7097013971909587,0.0020819690046015,14.21397055308024,0.041697883421061,0.7500603892690844,0.0016697760891377,15.02228448232015,0.0334424424908586,0.786432038211126,0.0018019335677446,15.750739504496256,0.0360893056881471,0.8189467417104243,0.0015051787864355,16.401947237650557,0.0301458712526089,0.8490531695962369,0.0020854496794002,17.004921785990398,0.0417675947239971,0.8763432933877152,0.0021019748472118,17.551491114298504,0.0420985624374443
101,JOZ,0.6520894341570214,0.0053737444496852,13.060112396240234,0.1076258912127405,0.6968451985482861,0.0042779357618413,13.956485321044925,0.0856789252317339,0.7382776968460227,0.0037624386675287,14.78629954020182,0.0753544978771317,0.7763049829255847,0.004356336719023,15.5479138285319,0.0872491474422657,0.8099198166655603,0.0046796131235116,16.221155080159505,0.093723759599003,0.8400914996493731,0.0046167018476348,16.825436564127607,0.0924637662746153,0.8669644883395212,0.0054654409159317,17.363651468912757,0.109462397208372
102,JRY,0.6605338686394693,0.0040319950146704,13.229238374498154,0.0807531993533206,0.7034077764085915,0.0031058903827301,14.087921286688914,0.0622050831743574,0.7435962105606531,0.0028756666894263,14.892819264729814,0.0575941400224998,0.78044546038169,0.0027437209922789,15.630839725070532,0.0549515184054625,0.8135388965244283,0.0029536996055805,16.293638373480903,0.0591569910705286,0.8435072585051422,0.0031105248799102,16.89384772406684,0.0622979033473296,0.871273944282545,0.002938525968687,17.449961683485245,0.0588530919534603
103,JSN,0.6579548478071172,0.0041266143963888,13.177585487365723,0.0826482457923163,0.7019213970253145,0.0034065321563765,14.058151931762696,0.0682263666811251,0.743100647772822,0.0029843634779635,14.882894083658853,0.0597711301730012,0.7803342677134818,0.0031834949869937,15.628612747192385,0.0637593559490092,0.8134655492768829,0.0031256533693171,16.292169367472333,0.0626008982460207,0.843671080450855,0.0032197033302273,16.89712876637777,0.0644845402681272,0.8708606210235885,0.0035749353589272,17.441683603922527,0.0715991628621312
104,JSR,0.6446884903708172,0.0067333943984357,12.911885553995766,0.1348570963513101,0.6916210052350407,0.0054870046508864,13.851854654947916,0.1098942778484179,0.7350059019467514,0.0055531831043791,14.720771704779734,0.1112197065328165,0.7747297699523513,0.00611443120645,15.51636530558268,0.1224604396459024,0.8094112492813481,0.0063511498047233,16.210969441731773,0.1272014634039807,0.8402593261903223,0.006367062911442,16.828797810872395,0.1275201726966523,0.870110351875645,0.006044327053147,17.426657138400607,0.1210563866531339
